oaid,nome,lat,lon,elev,type,x_utm32n,y_utm32n
T0150,Vallarsa (Foxi),45.7901,11.111,665,TA;TP,664075.627820586,5072893.643951794
T0151,Mori (Loppio),45.8553,10.9314,230,TA;TP,649941.3284504222,5079784.356221685
T0152,Brentonico,45.8172,10.9531,693,TA;TP,651729.5064731461,5075592.369925433
T0153,Ala (Ronchi),45.7392,11.0655,692,TA;TP,660685.3476646077,5067146.203452813
T0154,Ala (Convento),45.7571,10.9999,165,TA;TP,655532.3137216592,5069005.179947545
T0166,Val Di Genova (O.P. Enel),46.1696,10.7273,900,TA;TP,633338.8053488827,5114341.630805303
T0167,Pradalago (Rifugio Viviani),46.2497,10.8139,2084,TA;TP,639820.3397117788,5123390.512193526
T0168,Passo Campo Carlo Magno,46.2425,10.8384,1681,TA;TP,641727.386152239,5122634.019896821
T0169,Monte Groste' (Rifugio Graffer),46.2177,10.8898,2258,TA;TP,645755.550176499,5119971.668636672
T0175,Pinzolo,46.1565,10.7575,760,TA;TP,635702.2780337366,5112937.275151724
T0177,Val di Breguzzo (Ponte Arno'),46.032,10.6406,1148,TA;TP,626961.6014535674,5098911.347851946
T0178,La Rocca (Centrale),46.0224,10.7082,943,TA;TP,632215.8221888555,5097954.796205397
T0179,Tione,46.0411,10.7309,533,TA;TP,633927.6107526327,5100070.429762443
T0182,Montagne (Larzana),46.0591,10.7517,955,TA;TP,635492.950406071,5102105.556782296
T0186,Nembia (Centrale),46.1062,10.938,810,TA;TP,649775.4032316166,5107672.866964814
T0189,Santa Massenza (Centrale),46.0652,10.9803,252,TA;TP,653157.9123095287,5103198.100319093
T0190,Lago Di Cavedine,45.9943,10.9512,245,TA;TP,651100.4712121098,5095265.114603811
T0193,Torbole (Belvedere),45.8701,10.8774,90,TA;TP,645710.4819412736,5081328.647989526
T0200,Tenno,45.9191,10.8313,415,TA;TP,642007.5744165116,5086689.555587137
T0203,Forte D'Ampola,45.8639,10.6463,740,TA;TP,627788.5010677557,5080243.809286467
T0204,Bezzecca,45.8968,10.7191,698,TA;TP,633360.5516336242,5084018.239157998
T0210,Folgaria,45.9153,11.1644,1121,TA;TP,667848.819426595,5086914.627046852
T0212,Spormaggiore,46.2196,11.0469,561,TA;TP,657866.6282958443,5120483.417363925
T0222,Borgo Valsugana,46.053,11.4505,385,TA;TP,689564.5847492337,5102855.704478759
T0226,Monte Ruioch (Rifugio Tonini),46.1673,11.3515,1900,TA;TP,681530.5209212406,5115323.86830789
T0227,Cermis (Casere),46.2504,11.4915,1900,TA;TP,692047.934446065,5124886.51304527
T0228,Vigo Di Fassa (Stalon De Vael),46.4244,11.6361,2040,TA;TP,702549.6374668365,5144579.826918294
T0229,Campitello (Malga Do Col D'Aura),46.4909,11.6576,2050,TA;TP,703952.9663239876,5152023.956290434
T0231,Mazzin (Campestrin),46.4648,11.7151,1385,TA;TP,708465.2590038504,5149274.146645875
T0236,Romeno,46.3907,11.1189,958,TA;TP,662910.9449072711,5139640.054892997
T0308,Careser Alla Baia,46.4308,10.7066,2635,TA;TP,631115.7361455722,5143329.15233572
T0322,Arco (Arboreto),45.9223,10.883,115,TA;TP,646008.193720246,5087138.467140145
T0323,Campodenno (frana),46.2598,11.0284,610,TA;TP,656325.5922169395,5124913.332657761
T0324,Prezzo (frana),45.9342,10.6317,680,TA;TP,626495.4576121855,5088031.115265145
T0325,Villa Rendena (frana),46.0606,10.7228,840,TA;TP,633253.9673971182,5102223.39703382
T0326,Vigolo Vattaro (frana),46.0092,11.1814,815,TA;TP,668881.4702398466,5097383.177389207
T0327,Monte Bondone (Giardino Botanico),46.0219,11.0399,1552,TA;TP,657890.7045386445,5098503.745752978
T0354,Tremalzo,45.8417,10.6841,1560,TA;TP,630774.6106404433,5077838.5482812775
T0355,Passo Brocon,46.1167,11.6633,1610,TA;TP,705788.6990869171,5110462.291826555
