basinid,centroidid,centrx,centry,elev_m,avgelev_m,area_km2,length_m,skyview,basin_id
232,0232,700123.741,5112862.073,1657.366943,1861.377003,5.1452,1778.233765,0.776749903,232
251,0251,702888.5822,5113131.469,1567.772949,1798.644462,4.5536,2521.665222,0.815939172,251
264,0264,693367.0843,5112454.94,1178.608032,1523.790643,5.1268,2061.665222,0.85655501,264
293,0293,703572.2654,5111698.431,1628.790039,1697.22674,4.2924,1240.832611,0.899591264,293
296,0296,688031.7429,5111053.799,1744.972046,1871.171301,7.3856,5700.142853,0.765092643,296
297,0297,690979.3475,5111311.57,1279.380981,1425.852358,5.1,2493.624817,0.766655613,297
323,0323,691962.632,5110346.409,1036.092041,1344.258857,4.6656,1255.391052,0.766429038,323
329,0329,700921.665,5111283.942,1443.218018,1604.065964,4.8864,2332.792206,0.808925861,329
353,0353,704840.7599,5110564.381,1565.932983,1676.748298,4.2112,2825.340546,0.921570512,353
362,0362,695509.4667,5109810.051,1838.974976,1881.968166,4.2456,2570.782105,0.88525383,362
370,0370,700331.9816,5110238.332,1643.504028,1753.745833,5.2908,1097.401154,0.839760614,370
394,0394,693060.3924,5109628.452,831.9390259,1361.051268,5.8516,1916.223664,0.728417782,394
406,0406,687154.0886,5109588.267,1893.935059,1853.98337,5.0628,4015.878785,0.880653273,406
414,0414,697804.0851,5109674.091,1968.649048,1995.090411,5.076,4643.574311,0.806461893,414
417,0417,703214.1571,5109093.032,1304.052002,1346.717058,4.4512,1340.832611,0.920488587,417
420,0420,684716.2623,5108190.868,1764.680054,1935.866559,4.5504,3055.634919,0.840628895,420
457,0457,686285.8209,5107998.617,1477.791992,1683.558036,5.2652,1916.223664,0.855500037,457
461,0461,693183.4875,5108138.864,968.9000244,1281.25761,4.7736,1653.380951,0.824101166,461
491,0491,688243.7877,5107605.939,1222.215942,1456.410544,4.2136,1613.380951,0.805099259,491
50,0050,696918.9043,5115332.02,1719.562012,1979.755555,7.1188,4047.594514,0.753666578,50
518,0518,690107.3969,5107666.698,1197.144043,1369.083389,4.7144,4235.634919,0.728499441,518
546,0546,692940.956,5106721.103,708.1630249,845.2796699,4.3432,2168.528137,0.743660487,546
547,0547,697207.7278,5107251.526,1042.375,1213.492241,6.4308,3894.213562,0.819367215,547
557,0557,704240.776,5107162.381,1275.607056,1354.762875,5.5976,4235.046174,0.828632723,557
559,0559,699820.266,5106222.806,915.1560059,1153.051685,7.218,3913.036072,0.882037051,559
587,0587,689314.3261,5105762.168,786.7160034,936.6544703,4.4752,3651.614716,0.88615028,587
599,0599,698617.6896,5107113.965,1109.656982,1365.03487,6.392,4055.046174,0.889075892,599
642,0642,701606.8508,5106137.582,1421.386963,1155.773021,12.9492,4714.457429,0.862203757,642
708,0708,695002.5673,5106086.575,665.15802,880.6893152,8.0552,7054.701295,0.902040749,708
723,0723,683222.9581,5105328.576,1670.135986,1806.562277,7.832,4741.320344,0.834052632,723
736,0736,703725.984,5104494.25,862.7180176,903.0875716,6.6524,1796.812409,0.884150333,736
742,0742,685891.4991,5104981.801,1355.503052,1339.178678,5.6916,6013.868684,0.853607216,742
749,0749,682424.1999,5103124.192,1463.597046,1581.526786,6.2916,1255.391052,0.816165958,749
765,0765,688487.2763,5104637.74,760.9169922,869.1152548,4.0636,851.1269837,0.899383875,765
783,0783,689251.1406,5101646.395,486.4429932,674.5594879,4.9204,951.1269837,0.89134712,783
796,0796,687397.9338,5103463.058,678.6660156,678.7927192,5.6956,1903.086579,0.916069761,796
803,0803,690934.4525,5100241.707,676.3499756,950.8950343,9.9864,929.1168825,0.672111005,803
812,0812,687972.4618,5101667.261,439.2460022,536.910914,4.2652,4237.300141,0.810566341,812
838,0838,691312.0329,5104407.221,538.6539917,740.1236082,4.136,795.9797975,0.914298851,838
843,0843,684886.3689,5104220.44,1204.629028,1252.521339,4.272,2462.497834,0.875058347,843
889,0889,695864.2951,5104319.197,521.223999,600.7336132,4.0232,344.8528137,0.862495808,889
894,0894,693456.5221,5104900.725,459.855011,523.0067914,4.2692,224.8528137,0.922084935,894
895,0895,694182.085,5100335.154,806.8610229,1018.056794,7.0524,786.27417,0.527786875,895
898,0898,692770.0875,5102822.39,353.131012,501.2948311,7.768,2641.665222,0.923204414,898
901,0901,703637.896,5102701.732,622.2089844,912.655679,5.2928,1740.243866,0.775448589,901
902,0902,692176.3599,5099786.07,1094.098999,1195.506186,4.4504,4960.731599,0.837039071,902
940,0940,697208.6242,5102885.904,791.0900269,676.0491428,4.3496,4447.594514,0.795196625,940
944,0944,695681.5148,5100585.254,645.4240112,992.1177685,7.2776,1393.969696,0.783955145,944
962,0962,673873.5239,5102651.305,552.6259766,652.3656789,9.080114441,7894.723666,0.894615063,962
971,0971,701463.5772,5101906.972,1122.796997,1161.413181,5.5396,497.9898987,0.917447118,971
